,,,,,,,,,,,,,
,P3 — Dataset sintético de Alertas e Incidentes,,,,,,,,,,,,
,"500 eventos para ruído, actionability, MTTD/MTTR e ownership.",,,,,,,,,,,,
,,,,,,,,,,,,,
,Evento,Data,Origem,Servico,Severidade,Tipo,Acionavel,Duplicado,MTTD_min,MTTR_min,Owner,Runbook,Gerou_incidente
,EVT-0001,2026-06-03 04:00:00,CloudWatch,ERP,Low,Memória,0,1,9,410,Infra,0,0
,EVT-0002,2026-07-01 05:00:00,App log,Banco,Low,Disco,0,0,62,206,Cloud,1,0
,EVT-0003,2026-06-30 14:00:00,App log,WMS,Low,CPU,0,0,44,362,Cloud,0,0
,EVT-0004,2026-07-03 17:00:00,SNMP,WMS,Critical,Link,0,0,80,91,App,1,0
,EVT-0005,2026-07-14 00:00:00,CloudWatch,WMS,Low,Link,0,0,51,397,App,0,0
,EVT-0006,2026-07-02 09:00:00,App log,Rede Filiais,Low,Latência,0,0,93,127,Cloud,1,0
,EVT-0007,2026-07-24 15:00:00,CloudWatch,Integração,Low,Memória,0,0,51,245,App,1,0
,EVT-0008,2026-06-03 11:00:00,SNMP,VPN,Low,Disponibilidade,1,1,1,284,App,0,0
,EVT-0009,2026-06-10 15:00:00,CloudWatch,Rede Filiais,Medium,Memória,0,1,33,199,Infra,0,0
,EVT-0010,2026-06-04 11:00:00,Zabbix-legado,Portal,Medium,Disponibilidade,1,0,29,233,App,1,0
,EVT-0011,2026-07-25 08:00:00,SNMP,Banco,Low,Disco,0,1,63,567,Infra,0,0
,EVT-0012,2026-07-29 08:00:00,Zabbix-legado,File,Low,CPU,0,0,79,399,App,1,0
,EVT-0013,2026-07-18 13:00:00,App log,VPN,High,Disponibilidade,1,1,54,252,Cloud,0,0
,EVT-0014,2026-06-18 01:00:00,Zabbix-legado,Banco,Low,Erro app,0,0,83,288,NOC,0,0
,EVT-0015,2026-07-19 16:00:00,CloudWatch,WMS,Low,Erro app,1,1,28,314,NOC,0,1
,EVT-0016,2026-07-03 21:00:00,SNMP,File,Medium,Link,0,0,11,192,NOC,0,0
,EVT-0017,2026-06-05 21:00:00,Storage,ERP,Low,Erro app,0,1,41,100,Network,0,0
,EVT-0018,2026-06-18 14:00:00,Storage,Portal,Low,Memória,0,0,37,426,NOC,1,0
,EVT-0019,2026-06-07 15:00:00,App log,VPN,Low,Disco,0,0,87,324,Infra,0,0
,EVT-0020,2026-07-28 07:00:00,Storage,ERP,Medium,Memória,0,1,91,259,Cloud,1,0
,EVT-0021,2026-06-20 11:00:00,App log,Rede Filiais,Medium,Link,1,0,11,413,NOC,0,1
,EVT-0022,2026-06-29 02:00:00,SNMP,ERP,Low,Erro app,0,0,17,72,Network,0,0
,EVT-0023,2026-06-23 11:00:00,CloudWatch,ERP,Medium,Erro app,0,1,66,79,App,0,0
,EVT-0024,2026-07-05 11:00:00,App log,ERP,Low,Erro app,0,1,90,362,App,1,0
,EVT-0025,2026-06-10 09:00:00,CloudWatch,Portal,Low,Link,0,0,53,494,Network,0,0
,EVT-0026,2026-06-16 08:00:00,Zabbix-legado,Integração,Medium,Link,0,0,37,311,Cloud,0,0
,EVT-0027,2026-07-28 17:00:00,CloudWatch,Rede Filiais,High,Disco,0,0,86,232,Cloud,0,0
,EVT-0028,2026-07-28 17:00:00,Hypervisor,Portal,Low,Backup,1,1,56,191,Cloud,0,1
,EVT-0029,2026-07-11 07:00:00,App log,WMS,Medium,Disponibilidade,0,1,65,151,Cloud,0,0
,EVT-0030,2026-06-13 08:00:00,Zabbix-legado,Banco,Medium,Latência,0,0,45,250,Network,1,0
,EVT-0031,2026-07-01 11:00:00,Zabbix-legado,VPN,Medium,Erro app,0,0,42,500,Cloud,0,0
,EVT-0032,2026-06-12 22:00:00,App log,Portal,Medium,Memória,0,1,1,366,Infra,0,0
,EVT-0033,2026-06-22 12:00:00,App log,Portal,High,Memória,0,0,32,126,NOC,0,0
